#mu,eb,a_crit
0.060,0.60,0.063
0.040,0.11,0.348
0.100,0.45,0.091
0.020,0.79,0.041
0.090,0.15,0.226
0.240,0.45,0.080
0.190,0.32,0.119
0.180,0.26,0.141
0.150,0.60,0.057
0.230,0.22,0.153
0.210,0.00,0.363
0.060,0.61,0.061
0.020,0.80,0.039
0.130,0.14,0.217
0.050,0.28,0.158
0.220,0.15,0.189
0.010,0.38,0.154
0.120,0.04,0.342
0.230,0.23,0.147
0.240,0.46,0.078
0.060,0.62,0.058
0.170,0.10,0.240
0.180,0.27,0.138
0.190,0.33,0.114
0.150,0.61,0.057
0.080,0.07,0.342
0.100,0.46,0.089
0.140,0.17,0.195
0.230,0.24,0.142
0.210,0.01,0.360
0.180,0.28,0.135
0.220,0.16,0.184
0.060,0.63,0.056
0.150,0.62,0.054
0.240,0.47,0.075
0.190,0.34,0.111
0.100,0.47,0.085
0.230,0.25,0.141
0.120,0.05,0.314
0.090,0.16,0.220
0.170,0.11,0.229
0.040,0.12,0.347
0.001,0.14,0.558
0.060,0.64,0.054
0.190,0.35,0.108
0.130,0.15,0.214
0.050,0.29,0.152
0.100,0.48,0.081
0.140,0.18,0.188
0.230,0.26,0.135
0.150,0.63,0.054
0.180,0.29,0.130
0.220,0.17,0.180
0.240,0.48,0.074
0.060,0.65,0.052
0.080,0.08,0.308
0.030,0.00,0.520
0.210,0.02,0.335
0.100,0.49,0.082
0.150,0.64,0.051
0.230,0.27,0.131
0.060,0.66,0.050
0.010,0.39,0.149
0.240,0.49,0.073
0.120,0.06,0.306
0.180,0.30,0.125
0.230,0.28,0.131
0.100,0.50,0.079
0.240,0.50,0.070
0.150,0.65,0.048
0.190,0.36,0.108
0.140,0.19,0.182
0.060,0.67,0.048
0.050,0.30,0.148
0.230,0.29,0.125
0.180,0.31,0.122
0.001,0.15,0.557
0.040,0.13,0.273
0.240,0.51,0.070
0.130,0.16,0.203
0.100,0.51,0.077
0.090,0.17,0.212
0.150,0.66,0.046
0.010,0.40,0.142
0.060,0.68,0.047
0.220,0.18,0.174
0.080,0.09,0.301
0.190,0.37,0.102
0.230,0.30,0.121
0.170,0.12,0.224
0.060,0.69,0.046
0.100,0.52,0.078
0.240,0.52,0.066
0.150,0.67,0.046
0.180,0.32,0.121
0.120,0.07,0.296
0.210,0.03,0.299
0.060,0.70,0.043
0.030,0.01,0.518
0.190,0.38,0.102
0.230,0.31,0.118
0.240,0.53,0.065
0.100,0.53,0.074
0.060,0.71,0.042
0.140,0.20,0.178
0.090,0.18,0.204
0.240,0.54,0.063
0.230,0.32,0.113
0.220,0.19,0.168
0.180,0.33,0.116
0.060,0.72,0.039
0.150,0.68,0.044
0.100,0.54,0.070
0.050,0.31,0.147
0.040,0.14,0.259
0.130,0.17,0.200
0.190,0.39,0.098
0.010,0.41,0.138
0.240,0.55,0.062
0.170,0.13,0.220
0.080,0.10,0.282
0.120,0.08,0.280
0.060,0.73,0.039
0.100,0.55,0.072
0.230,0.33,0.111
0.150,0.69,0.044
0.240,0.56,0.061
0.001,0.16,0.556
0.180,0.34,0.114
0.190,0.40,0.094
0.210,0.04,0.294
0.060,0.74,0.037
0.100,0.56,0.067
0.150,0.70,0.042
0.140,0.21,0.170
0.230,0.34,0.108
0.220,0.20,0.163
0.090,0.19,0.194
0.060,0.75,0.034
0.100,0.57,0.066
0.240,0.57,0.058
0.180,0.35,0.107
0.150,0.71,0.040
0.050,0.32,0.142
0.010,0.42,0.135
0.130,0.18,0.191
0.190,0.41,0.093
0.120,0.09,0.271
0.040,0.15,0.249
0.230,0.35,0.108
0.240,0.58,0.057
0.060,0.76,0.034
0.170,0.14,0.209
0.080,0.11,0.274
0.150,0.72,0.039
0.190,0.42,0.090
0.100,0.58,0.065
0.180,0.36,0.106
0.220,0.21,0.159
0.230,0.36,0.102
0.240,0.59,0.056
0.150,0.73,0.037
0.060,0.77,0.032
0.100,0.59,0.061
0.140,0.22,0.165
0.060,0.78,0.032
0.001,0.17,0.530
0.150,0.74,0.035
0.210,0.05,0.269
0.060,0.79,0.029
0.090,0.20,0.188
0.180,0.37,0.102
0.150,0.75,0.034
0.100,0.60,0.060
0.050,0.33,0.134
0.060,0.80,0.029
0.190,0.43,0.087
0.120,0.10,0.256
0.150,0.76,0.032
0.230,0.37,0.101
0.240,0.60,0.055
0.150,0.77,0.031
0.010,0.43,0.130
0.170,0.15,0.199
0.040,0.16,0.244
0.150,0.78,0.029
0.100,0.61,0.058
0.220,0.22,0.154
0.130,0.19,0.186
0.180,0.38,0.102
0.190,0.44,0.086
0.030,0.02,0.516
0.230,0.38,0.098
0.080,0.12,0.259
0.240,0.61,0.052
0.140,0.23,0.162
0.150,0.79,0.027
0.050,0.34,0.132
0.210,0.06,0.263
0.090,0.21,0.187
0.150,0.80,0.026
0.100,0.62,0.056
0.010,0.44,0.124
0.180,0.39,0.097
0.230,0.39,0.095
0.001,0.18,0.531
0.170,0.16,0.194
0.220,0.23,0.148
0.240,0.62,0.050
0.120,0.12,0.242
0.100,0.63,0.055
0.070,0.00,0.436
0.130,0.20,0.179
0.180,0.40,0.097
0.140,0.24,0.156
0.230,0.40,0.093
0.190,0.45,0.083
0.100,0.64,0.054
0.090,0.22,0.174
0.180,0.41,0.093
0.240,0.63,0.048
0.050,0.35,0.129
0.230,0.41,0.091
0.160,0.00,0.372
0.140,0.25,0.150
0.220,0.24,0.145
0.240,0.64,0.048
0.190,0.46,0.082
0.100,0.65,0.052
0.210,0.07,0.246
0.230,0.42,0.087
0.010,0.45,0.121
0.080,0.13,0.247
0.170,0.17,0.188
0.100,0.66,0.050
0.180,0.42,0.090
0.090,0.23,0.171
0.120,0.13,0.234
0.130,0.21,0.175
0.240,0.65,0.046
0.040,0.17,0.232
0.140,0.26,0.146
0.230,0.43,0.085
0.050,0.36,0.122
0.030,0.03,0.451
0.220,0.25,0.143
0.070,0.01,0.435
0.190,0.47,0.080
0.210,0.08,0.244
0.240,0.66,0.045
0.001,0.19,0.529
0.230,0.44,0.083
0.160,0.01,0.370
0.100,0.67,0.048
0.190,0.48,0.077
0.180,0.43,0.089
0.240,0.67,0.043
0.230,0.45,0.081
0.100,0.68,0.046
0.010,0.46,0.116
0.170,0.18,0.181
0.240,0.68,0.041
0.120,0.14,0.224
0.090,0.24,0.167
0.220,0.26,0.137
0.140,0.27,0.145
0.130,0.22,0.166
0.210,0.09,0.236
0.240,0.69,0.040
0.100,0.69,0.045
